PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Gordon,DEN,26,6-8,235,Arizona,USA,2014,1,4,75,15,5.9,2.5,6.2,5.7,12.9,19.4,60.2,10.9
Aaron Henry,PHI,22,6-5,210,Michigan State,USA,Undrafted,Undrafted,Undrafted,6,0.3,0.2,0,-56,0,4.8,14.9,20,0
Aaron Holiday,PHX,25,6-0,185,UCLA,USA,2018,1,23,63,6.3,1.9,2.4,-1.4,2.3,9.2,18.2,54.4,22.3
Aaron Nesmith,BOS,22,6-5,215,Vanderbilt,USA,2020,1,14,52,3.8,1.7,0.4,3,2.5,11.7,16.4,50.7,5.7
Aaron Wiggins,OKC,23,6-4,190,Maryland,USA,2021,2,55,50,8.3,3.6,1.4,-8.1,4,9.8,14.9,55.6,8.3
Abdel Nader,PHX,28,6-5,225,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,2.6,14.5,13.9,43.1,6.5
Ade Murkey,SAC,24,6-5,200,Denver,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-33.3,0,0,0,0,0
Admiral Schofield,ORL,25,6-5,241,Tennessee,United Kingdom,2019,2,42,38,3.8,2.3,0.7,-13.5,3.3,14.6,14.3,53.8,8.4
Ahmad Caver,IND,25,6-2,174,Old Dominion,USA,2019,,,1,2,0,0,133.3,0,0,50,100,0
Al Horford,BOS,36,6-9,240,Florida,Dominican Republic,2007,1,3,69,10.2,7.7,3.4,9.3,5.4,20.1,14.7,57.4,15.9
Alec Burks,NYK,30,6-6,214,Colorado,USA,2011,1,12,81,11.7,4.9,3,2.3,1.9,14.8,17.1,55.9,15.8
Aleem Ford,ORL,24,6-8,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,5,2.8,3,0.4,-22.1,2.8,16,14.8,35,4.3
Aleksej Pokusevski,OKC,20,7-0,190,None,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,5.4,18.9,19.5,48.5,16.1
Alex Caruso,CHI,28,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,41,7.4,3.6,4,5.1,2.9,10.1,13,52.8,19.4
